ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
7.897,0.71,0.1003,-0.6875,-1.0763,-4.1527,0.6107
7.917,0.7056,0.0994,-0.6917,-0.8473,-3.0992,0.9771
7.937,0.7009,0.1077,-0.6868,-0.6412,-1.9847,-0.5191
7.957,0.7004,0.1079,-0.6902,-1.3588,-2.5267,0.1603
7.977,0.6975,0.1079,-0.6841,-1.2901,-3.2519,0.2137
7.997,0.7,0.1072,-0.6941,-1.5038,-4.6947,1.5725
8.017,0.707,0.1013,-0.687,-1.6718,-5.3359,1.771
8.037,0.7095,0.0986,-0.6909,-2.0305,-5.0687,1.7405
8.057,0.7104,0.0964,-0.6873,-2.1374,-3.8855,1.0458
8.077,0.7109,0.0979,-0.6853,-1.6718,-2.5954,0.313
8.097,0.7031,0.1011,-0.6992,-1.0229,-2.0916,-0.1374
8.117,0.699,0.1025,-0.6895,-0.4733,-2.5802,0.3588
8.137,0.6936,0.1084,-0.6892,-0.8092,-3.7557,0.7328
8.157,0.6997,0.1033,-0.6868,-1.3893,-4.7405,1.1908
8.177,0.7009,0.1045,-0.6899,-1.8092,-4.8473,1.6031
8.197,0.7043,0.103,-0.6895,-2.3053,-4.4275,1.5496
8.217,0.7073,0.0986,-0.6907,-2.2977,-3.4962,0.6565
8.237,0.7068,0.0999,-0.6836,-1.5802,-3.0382,0.0
8.257,0.7019,0.0986,-0.6848,-0.9008,-3.4427,0.9008
8.278,0.6992,0.1089,-0.6887,-0.3664,-3.5191,0.542
8.297,0.7017,0.1084,-0.6899,-0.9008,-3.3435,0.6641
8.317,0.7004,0.1077,-0.6956,-1.3511,-3.1069,0.2901
8.337,0.7012,0.105,-0.6836,-2.145,-3.7786,1.2137
8.357,0.7002,0.0999,-0.6902,-2.542,-4.9466,1.626
8.377,0.707,0.0996,-0.6875,-2.084,-5.1527,1.0916
8.397,0.7097,0.0989,-0.6882,-0.9389,-4.5344,0.9618
8.417,0.7036,0.1018,-0.687,0.0458,-2.8473,0.5267
8.437,0.7014,0.1094,-0.6958,-0.2824,-2.0534,0.2824
8.457,0.6934,0.1157,-0.6853,-1.2214,-2.1374,-0.2824
8.477,0.6968,0.1074,-0.6909,-2.4733,-3.7328,0.9695
8.497,0.7036,0.1003,-0.6899,-2.3359,-5.0229,1.5115
8.517,0.7075,0.0996,-0.6848,-2.0,-5.7863,2.1069
8.537,0.7124,0.0959,-0.6887,-1.2977,-4.9008,1.1985
8.557,0.7056,0.1003,-0.6914,-0.9389,-2.9618,0.374
8.577,0.6992,0.1035,-0.688,-0.3969,-1.0916,-0.3435
8.597,0.6938,0.1116,-0.6892,-1.0076,-0.9389,0.084
8.617,0.6899,0.1042,-0.6924,-2.5725,-2.7863,0.5725
8.637,0.6948,0.1023,-0.6868,-3.0305,-5.6336,1.1985
8.657,0.71,0.0962,-0.687,-1.9847,-7.3893,2.4351
8.677,0.7126,0.094,-0.6846,-0.4122,-6.5115,2.4427
8.697,0.7131,0.1018,-0.686,0.3588,-3.5649,0.7786
8.717,0.7073,0.1047,-0.6909,0.1756,-0.8473,-1.1069
8.737,0.6931,0.1091,-0.6907,-1.0229,-0.4809,-0.6718
8.757,0.6926,0.114,-0.6987,-2.1069,-2.4504,0.4046
8.777,0.6987,0.104,-0.6895,-3.2214,-6.0687,2.1069
8.797,0.7104,0.0981,-0.6799,-2.6489,-7.4275,2.4885
8.817,0.7168,0.0938,-0.6948,-1.3969,-6.3053,2.4198
8.837,0.7153,0.0986,-0.6909,-0.4351,-2.6641,0.2519
8.857,0.7024,0.1055,-0.6968,-0.8473,-0.0305,-0.542
8.877,0.6909,0.1089,-0.6897,-1.2214,0.1908,-1.4809
